"Name,""Type"",""Rame"",""Price"",""Stars"",""Counto"",""Countp"""
"STELS Navigator 700 MD 27.5 V010 (2018),""женский"",""рама: сталь"",14070,4.5,7,18"
"STELS Pilot 410 20 Z011 (2018),""городской"",""рама: сталь, складной"",5449,5,1,36"
"STELS Jet 18 Z010 (2018),""детский"",""размер рамы: 10.0 дюйм"",3875,4.5,8,34"
"STELS Pilot 710 24 Z010 (2018),""городской"",""рама: сталь, складной"",5799,4.5,1,40"
"STELS Flyte Lady 14 Z011 (2018),""детский"",""размер рамы: 9.5 дюйм"",4670,5,1,10"
"Novatrack Vector 20 (2019),""детский"",""рама: сталь"",5348,5,2,33"
"STELS Pilot 750 24 Z010 (2018),""городской"",""рама: сталь, складной"",7699,4.5,3,46"
"STELS Navigator 400 MD 24 V010 (2018),""подростковый"",""рама: сталь"",10244,4.5,2,18"
"Десна 2610 MD,""женский"",""рама: сталь"",10481,5,7,94"
"STELS Navigator 620 MD 26 V010 (2018),""женский"",""рама: алюминиевый сплав"",13859,4.5,4,36"
"STELS Pilot 950 MD 26 V010 (2018),""детский"",""рама: алюминиевый сплав, складной"",17350,4.5,10,36"
"STELS Miss 5000 MD 26 V010 (2018),""женский"",""рама: сталь"",10649,5,2,37"
"STELS Jet 16 Z010 (2018),""детский"",""размер рамы: 9.0 дюйм"",3717,4.5,4,30"
"STELS Jet 14 Z010 (2018),""детский"",""размер рамы: 8.5 дюйм"",3617,4.5,7,28"
"FORWARD Sporting 29 2.0 Disc (2019),""подростковый"",""рама: сталь"",14000,4.5,3,47"
"Десна 2600 V,""женский"",""рама: сталь"",8990,4.5,4,83"
"Десна 2200,""городской"",""рама: сталь, складной"",4990,4.5,1,41"
"STELS Navigator 600 V 26 V030 (2018),""подростковый"",""рама: алюминиевый сплав"",11149,5,3,44"
"STELS Navigator 500 MD 26 V020 (2018),""городской"",""рама: сталь"",10399,4.5,5,26"
"STELS Talisman 14 Z010 (2018),""детский"",""размер рамы: 9.5 дюйм"",3764,5,1,26"
"STELS Flyte Lady 16 Z011 (2018),""женский"",""рама: сталь"",4800,5,2,6"
"STELS Focus MD 26 21-sp V010 (2018),""горный"",""рама: сталь"",11772,4.5,4,47"
"STELS Crosswind 26 21-sp Z010 (2018),""городской"",""рама: сталь"",12850,5,2,6"
"FORWARD Enigma 1.0 (2018),""городской"",""рама: алюминиевый сплав, складной"",13248,5,3,12"
"Десна 2500,""городской"",""рама: сталь, складной"",5180,4,6,32"
"STELS Navigator 700 V 27.5 V010 (2018),""городской"",""рама: сталь"",10921,5,1,31"
"STELS Navigator 640 D 26 V010 (2019),""городской"",""рама: алюминиевый сплав"",16949,5,1,26"
"Royal Baby RB16B-6 Freestyle 16 Steel,""детский"",""рама: сталь"",10200,5,1,22"
"FORWARD Tracer 2.0 Disc (2018),""городской"",""рама: алюминиевый сплав, складной"",18220,4.5,3,31"
"ALTAIR City 20 (2017),""городской"",""рама: сталь, складной"",5481,5,2,9"
"STELS Pilot 310 20 Z011 (2018),""городской"",""рама: сталь, складной"",4999,4.5,3,42"
"STELS Navigator 460 MD 24 V021 (2018),""детский"",""рама: алюминиевый сплав"",16820,5,1,20"
"STELS Navigator 325 28 Z010 (2018),""женский"",""рама: сталь"",7760,4.5,3,11"
"Royal Baby RB14B-6 Freestyle 14 Steel,""детский"",""рама: сталь"",9390,5,1,19"
"Десна Метеор 24,""подростковый"",""рама: сталь"",8612,4.5,2,16"
"STELS Pilot 190 16 V030 (2018),""детский"",""размер рамы: 8.5 дюйм"",8460,5,10,40"
"Merida Matts 20-MD (2014),""горный"",""рама: алюминиевый сплав"",25000,5,14,3"
"FORWARD Tracer 1.0 (2018),""городской"",""рама: алюминиевый сплав, складной"",17810,4.5,3,37"
"SHULZ Max,""городской"",""рама: алюминиевый сплав"",14400,4.5,9,32"
"STELS Navigator 210 Gent 26 Z010 (2018),""городской"",""рама: сталь"",6199,4.5,1,17"
"Stinger Victoria 26 (2018),""женский"",""рама: сталь"",12324,4,2,51"
"Stinger Latina 26 (2018),""женский"",""рама: сталь"",10148,5,1,49"
"Novatrack Racer 20 6 (2017),""горный"",""рама: алюминиевый сплав"",10050,4.5,2,22"
"FORWARD Apache 27.5 2.0 Disc (2019),""горный"",""рама: алюминиевый сплав"",17000,10,2,71"
"SHULZ Hopper 3,""городской"",""рама: сталь"",24900,5,9,39"
"STELS Pilot 180 16 V010 (2018),""детский"",""размер рамы: 9 дюйм"",9740,5,2,17"
"BMX STARK Madness BMX 1 (2019),""горный"",""рама: алюминиевый сплав"",16990,10,2,34"
"STELS Navigator 500 V 26 V020 (2018),""подростковый"",""рама: сталь"",9399,4,1,38"
